id,siruta,numar,adresa,tip,denumire,test,localitate,adresa_full,icon_url
9856,34761,"7",Pietrosu 7,Strada,Pietrosu,,Valea Magherusului,Pietrosu 7 (Valea Magherusului),
9820,34707,"2",Bradului 2,Strada,Bradului,,Sieu Magherus,Bradului 2 (Sieu Magherus),
9819,34707,4 /1,Bradului 4 /1,Strada,Bradului,,Sieu Magherus,Bradului 4 /1 (Sieu Magherus),
9818,34707,4 /2,Bradului 4 /2,Strada,Bradului,,Sieu Magherus,Bradului 4 /2 (Sieu Magherus),
9817,34707,4 /3,Bradului 4 /3,Strada,Bradului,,Sieu Magherus,Bradului 4 /3 (Sieu Magherus),
9816,34707,4 /4,Bradului 4 /4,Strada,Bradului,,Sieu Magherus,Bradului 4 /4 (Sieu Magherus),
9815,34707,4 /5,Bradului 4 /5,Strada,Bradului,,Sieu Magherus,Bradului 4 /5 (Sieu Magherus),
9814,34707,4 /6,Bradului 4 /6,Strada,Bradului,,Sieu Magherus,Bradului 4 /6 (Sieu Magherus),
9813,34707,4 /7,Bradului 4 /7,Strada,Bradului,,Sieu Magherus,Bradului 4 /7 (Sieu Magherus),
9812,34707,4 /8,Bradului 4 /8,Strada,Bradului,,Sieu Magherus,Bradului 4 /8 (Sieu Magherus),
9811,34707,4 /9,Bradului 4 /9,Strada,Bradului,,Sieu Magherus,Bradului 4 /9 (Sieu Magherus),
9810,34707,"6",Bradului 6,Strada,Bradului,,Sieu Magherus,Bradului 6 (Sieu Magherus),
9809,34707,"8",Bradului 8,Strada,Bradului,,Sieu Magherus,Bradului 8 (Sieu Magherus),
9808,34707,"10",Bradului 10,Strada,Bradului,,Sieu Magherus,Bradului 10 (Sieu Magherus),
9752,34707,"2",Calea Dejului 2,Strada,Calea Dejului,,Sieu Magherus,Calea Dejului 2 (Sieu Magherus),
9751,34707,2 A,Calea Dejului 2 A,Strada,Calea Dejului,,Sieu Magherus,Calea Dejului 2 A (Sieu Magherus),
9750,34707,2 B,Calea Dejului 2 B,Strada,Calea Dejului,,Sieu Magherus,Calea Dejului 2 B (Sieu Magherus),
9749,34707,"4",Calea Dejului 4,Strada,Calea Dejului,,Sieu Magherus,Calea Dejului 4 (Sieu Magherus),
9748,34707,"6",Calea Dejului 6,Strada,Calea Dejului,,Sieu Magherus,Calea Dejului 6 (Sieu Magherus),
9747,34707,"8",Calea Dejului 8,Strada,Calea Dejului,,Sieu Magherus,Calea Dejului 8 (Sieu Magherus),
9746,34707,8 A,Calea Dejului 8 A,Strada,Calea Dejului,,Sieu Magherus,Calea Dejului 8 A (Sieu Magherus),
9745,34707,"10",Calea Dejului 10,Strada,Calea Dejului,,Sieu Magherus,Calea Dejului 10 (Sieu Magherus),
9744,34707,10 A,Calea Dejului 10 A,Strada,Calea Dejului,,Sieu Magherus,Calea Dejului 10 A (Sieu Magherus),
9743,34707,"12",Calea Dejului 12,Strada,Calea Dejului,,Sieu Magherus,Calea Dejului 12 (Sieu Magherus),
9742,34707,"16",Calea Dejului 16,Strada,Calea Dejului,,Sieu Magherus,Calea Dejului 16 (Sieu Magherus),
9741,34707,16 A,Calea Dejului 16 A,Strada,Calea Dejului,,Sieu Magherus,Calea Dejului 16 A (Sieu Magherus),
9740,34707,16 B,Calea Dejului 16 B,Strada,Calea Dejului,,Sieu Magherus,Calea Dejului 16 B (Sieu Magherus),
