X,Y,id,ID_RU,Tip_RU,Detaliu_RU,localitate,icon_url
24.4134335711775,47.0526985145809,147,SA-02,,Scoala,Saratel,
24.4159300983538,47.0514908339824,21,SA-01,,Biserica,Saratel,
24.3305214404926,47.1023612786935,146,CH-02,,SCOALA GENERALA,Chintelnic,
24.3572222275229,47.0831959254039,209,AC-05,,Gradinita,Arcalia,
24.3994616587039,47.0682258223192,22,CR-01,,Biserica Evanghelica sec. XV-biserica fortificata monument istoric,Cranimat,
24.4200448880816,47.0478722680542,20,SA-06,,Bazin apa,Saratel,
24.3992549573986,47.0687607661971,145,CR-02,,Scoala,Cranimat,
24.3740716454611,47.0909095476248,144,SM-03,,Scoala,Sieu Magherus,
24.3636158495283,47.0850803234457,159,AC-11,,Teren fotbal,Arcalia,
24.3926078105159,47.0795171385726,17,CR-07,,"ASEZARE, EPOCA, BRONZULUI",Cranimat,
24.3266824844999,47.0988756260023,158,CH-08,,Statie de epurare,Chintelnic,
24.4088435717497,47.0657183560478,16,CR-07,,"ASEZARE, EPOCA, BRONZULUI",Cranimat,
24.3960258114486,47.1095749733049,31,VM-01,,BISERICA ORTODOXA,Valea Magherusului,
24.3718013379405,47.0901740139015,29,SM-06,,BISERICA EVANGHELICA,Sieu Magherus,
24.329993019602,47.1000872097274,28,CH-01,,"BISERICA
ORTODOXA",Chintelnic,
24.3365871127209,47.1157920839575,27,PO-03,,BISERICA,Podirei,
24.368100682057,47.095324396389,25,SM-05,,Biserica,Sieu Magherus,
24.3763196925222,47.0892107025288,24,SM-05,,Biserica,Sieu Magherus,
24.3724890690233,47.0962104103367,7,SM-10,,"ASEZARE EPOCA BRONZULUI,",Sieu Magherus,
24.407377044465,47.0514112107741,6,SA-08,,"Agro-industrie, nepoluanta",Saratel,
24.3480740840113,47.1011283223137,5,CH-10,,"AGRO INDUSTRIE
NEPOLUANTA",Chintelnic,
24.3437532740482,47.1024463180572,4,CH-10,,"AGRO INDUSTRIE
NEPOLUANTA",Chintelnic,
24.3246764997164,47.1039623784461,3,CH-11,,"AGRO
INDUSTRIE",Chintelnic,
24.4084015210883,47.0528489095462,2,SA-09,,A.R.L.,Saratel,
24.396074267664,47.1091866928254,143,VM-02,,SALA FESTIVITATI (SPP),Valea Magherusului,
24.3493476750757,47.1071908135787,142,CH-09,,S.R.M.,Chintelnic,
24.3666240021671,47.0975099439415,15,SM-21,,ASEZARE ROMANA,Sieu Magherus,
24.4134226579975,47.0506984399365,14,SA-10,,"ASEZARE EPOCA, BRONZULUI ROMAN, POSTROMAN, ""DUPA GREDINI""",Saratel,
24.358548018209,47.1121178220909,13,PO-02,,"ASEZARE EPOCA, BRONZULUI,. FIERULUI, STIUBEI",Podirei,
24.373853352046,47.0901494153515,138,SM-01,,PRIMARIA,Sieu Magherus,
24.3622017808046,47.1031234808567,12,SM-17,,ASEZARE EPOCA NEOLITICA,Sieu Magherus,
24.3838541243753,47.0874824660032,11,SM-13,,ASEZARE EPOCA FIERULUI,Sieu Magherus,
24.3566965435475,47.104994420996,10,SM-14,,ASEZARE EPOCA ENEOLITICA,Sieu Magherus,
24.3520113072834,47.1137253237867,9,PO-07,,"ASEZARE EPOCA BRONZULUI, FIERULUI,
STIUBEI",Podirei,
24.3396779353053,47.1184993995902,8,PO-05,,ASEZARE EPOCA BRONZULUI,Podirei,
24.4223706630663,47.0506058258493,35,SA-07,,"CETATE DACICA, TURNUL DE OBSERVARE, ROMANA ""DEALUL CETATII""",Saratel,
24.4072135858067,47.0714242715134,34,CR-06,,Casa copii,Cranimat,
24.3355285471151,47.1003830565298,33,CH-04,,CAMIN CULTURAL,Chintelnic,
24.4007801405464,47.0695835784431,32,CR-04,,Camin,Cranimat,
24.3663476532368,47.0796977011345,215,AC-02,,Scoala,Arcalia,
24.3624677072671,47.0815465257374,214,AC-08,,Magazin,Arcalia,
24.3644994857541,47.0805511690753,213,AC-04,,Biserica ortodoxa,Arcalia,
24.3704177381263,47.0884265839716,87,SM-11,,HALTA CFR,Sieu Magherus,
24.3616483381568,47.0830418765517,212,AC-07,,Casade rugaciune,Arcalia,
